Date,index,Cbd_Regional,total,left,left_avg,year,day,hour
2019-09-24,266,cbd,33.0,20.0,1.0,2019.0,24.0,7.0
2019-09-25,267,cbd,2.5,1.0,1.0,2019.0,25.0,17.0
2019-09-26,268,cbd,8.0,5.0,1.0,2019.0,26.0,10.0
2019-09-27,269,cbd,2.0,1.0,1.0,2019.0,27.0,19.0
2019-09-28,270,cbd,14.5,5.0,1.0,2019.0,28.0,14.5
2019-09-29,271,cbd,10.0,6.5,1.0,2019.0,29.0,8.0
2019-09-30,272,cbd,5.0,2.0,1.0,2019.0,30.0,14.5
2019-10-01,273,cbd,3.0,2.0,1.0,2019.0,1.0,17.0
2019-10-02,274,cbd,4.0,3.0,1.0,2019.0,2.0,14.0
2019-10-03,275,cbd,7.0,4.0,1.0,2019.0,3.0,10.0
2019-10-04,276,cbd,28.0,13.5,1.0,2019.0,4.0,17.0
2019-10-05,277,cbd,8.5,5.0,1.0,2019.0,5.0,8.0
2019-10-06,278,cbd,3.0,2.0,1.0,2019.0,6.0,14.0
2019-10-07,279,cbd,5.0,3.0,1.0,2019.0,7.0,5.0
2019-10-08,280,cbd,9.0,4.5,1.0,2019.0,8.0,10.0
2019-10-09,281,cbd,4.0,3.0,1.0,2019.0,9.0,16.0
2019-10-10,282,cbd,4.0,3.0,1.0,2019.0,10.0,11.0
2019-10-11,283,cbd,2.0,2.0,1.0,2019.0,11.0,15.0
2019-10-12,284,cbd,3.0,2.0,1.0,2019.0,12.0,17.0
2019-10-13,285,cbd,7.0,5.0,1.0,2019.0,13.0,4.0
2019-10-14,286,cbd,4.0,2.0,1.0,2019.0,14.0,13.0
2019-10-15,287,cbd,7.0,4.0,1.0,2019.0,15.0,14.0
2019-10-16,288,cbd,8.0,5.0,1.0,2019.0,16.0,4.0
2019-10-17,289,cbd,9.0,5.0,1.0,2019.0,17.0,4.0
2019-10-18,290,cbd,18.0,2.0,1.0,2019.0,18.0,11.0
2019-10-19,291,cbd,5.0,2.0,1.0,2019.0,19.0,15.0
2019-10-20,292,cbd,18.0,6.0,1.0,2019.0,20.0,12.0
2019-10-21,293,cbd,11.0,5.0,1.0,2019.0,21.0,8.0
2019-10-22,294,cbd,18.5,3.5,2.0,2019.0,22.0,9.5
2019-10-23,295,cbd,11.0,2.0,1.0,2019.0,23.0,15.0
2019-10-24,296,cbd,10.0,3.0,1.0,2019.0,24.0,10.0
2019-10-25,297,cbd,10.0,4.0,1.0,2019.0,25.0,10.0
2019-10-26,298,cbd,11.5,5.0,1.0,2019.0,26.0,13.0
2019-10-27,299,cbd,9.0,4.0,1.0,2019.0,27.0,10.0
2019-10-28,300,cbd,14.0,7.0,1.0,2019.0,28.0,11.0
2019-10-29,301,cbd,17.0,8.0,1.0,2019.0,29.0,9.0
2019-10-30,302,cbd,20.0,11.0,1.0,2019.0,30.0,8.0
2019-10-31,303,cbd,18.5,10.0,1.0,2019.0,31.0,9.0
2019-11-01,304,cbd,1.5,1.0,1.0,2019.0,1.0,16.0
2019-11-02,305,cbd,4.0,3.0,1.0,2019.0,2.0,15.0
2019-11-03,306,cbd,5.0,3.0,1.0,2019.0,3.0,15.0
2019-11-04,307,cbd,8.0,2.0,1.0,2019.0,4.0,12.0
2019-11-05,308,cbd,8.0,3.0,1.0,2019.0,5.0,15.0
2019-11-06,309,cbd,10.0,3.0,1.0,2019.0,6.0,12.0
2019-11-07,310,cbd,10.0,4.5,1.0,2019.0,7.0,8.0
2019-11-08,311,cbd,9.0,3.0,1.0,2019.0,8.0,12.0
2019-11-09,312,cbd,8.0,2.0,1.0,2019.0,9.0,14.0
2019-11-10,313,cbd,7.0,2.0,1.0,2019.0,10.0,14.0
2019-11-11,314,cbd,12.0,7.0,1.0,2019.0,11.0,8.0
2019-11-12,315,cbd,8.0,5.0,1.0,2019.0,12.0,12.0
2019-11-13,316,cbd,25.0,13.0,1.0,2019.0,13.0,18.0
2019-11-14,317,cbd,16.0,9.0,1.0,2019.0,14.0,12.0
2019-11-15,318,cbd,11.0,7.0,0.0,2019.0,15.0,11.0
2019-11-16,319,cbd,9.0,5.0,0.0,2019.0,16.0,12.0
2019-11-17,320,cbd,6.0,3.0,0.0,2019.0,17.0,12.0
2019-11-18,321,cbd,10.0,5.0,0.0,2019.0,18.0,12.0
2019-11-19,322,cbd,8.0,5.0,0.0,2019.0,19.0,11.0
2019-11-20,323,cbd,10.0,6.0,0.0,2019.0,20.0,11.5
2019-11-21,324,cbd,9.0,5.0,0.0,2019.0,21.0,12.0
2019-11-22,325,cbd,14.0,8.0,0.0,2019.0,22.0,12.0
2019-11-23,326,cbd,12.0,7.0,0.0,2019.0,23.0,12.0
2019-11-24,327,cbd,8.0,5.0,0.0,2019.0,24.0,12.0
2019-11-25,328,cbd,7.0,4.0,0.0,2019.0,25.0,12.0
2019-11-26,329,cbd,10.0,6.0,0.0,2019.0,26.0,12.0
2019-11-27,330,cbd,10.0,6.0,0.0,2019.0,27.0,12.0
2019-11-28,331,cbd,10.0,6.0,0.0,2019.0,28.0,12.0
2019-11-29,332,cbd,12.0,7.0,0.0,2019.0,29.0,12.0
2019-11-30,333,cbd,12.0,7.0,0.0,2019.0,30.0,11.0
2019-12-01,334,cbd,5.0,3.0,0.0,2019.0,1.0,11.0
2019-12-02,335,cbd,8.0,5.0,0.0,2019.0,2.0,12.0
2019-12-03,336,cbd,8.0,4.0,0.0,2019.0,3.0,12.0
2019-12-04,337,cbd,11.0,7.0,0.0,2019.0,4.0,11.0
2019-12-05,338,cbd,10.0,6.0,0.0,2019.0,5.0,12.0
2019-12-06,339,cbd,14.0,8.0,0.0,2019.0,6.0,12.0
2019-12-07,340,cbd,11.0,6.0,0.0,2019.0,7.0,13.0
2019-12-08,341,cbd,7.0,5.0,0.0,2019.0,8.0,12.0
2019-12-09,342,cbd,7.0,4.0,0.0,2019.0,9.0,12.0
2019-12-10,343,cbd,8.0,5.0,0.0,2019.0,10.0,12.0
2019-12-11,344,cbd,10.0,6.0,0.0,2019.0,11.0,12.0
2019-12-12,345,cbd,9.0,6.0,0.0,2019.0,12.0,12.0
2019-12-13,346,cbd,13.0,8.0,0.0,2019.0,13.0,11.0
2019-12-14,347,cbd,11.0,6.5,0.0,2019.0,14.0,12.0
2019-12-15,348,cbd,6.0,4.0,0.0,2019.0,15.0,12.0
2019-12-16,349,cbd,8.0,5.0,0.0,2019.0,16.0,12.0
2019-12-17,350,cbd,9.0,6.0,0.0,2019.0,17.0,11.0
2019-12-18,351,cbd,10.0,6.0,0.0,2019.0,18.0,12.0
2019-12-19,352,cbd,14.0,8.0,0.0,2019.0,19.0,11.0
2019-12-20,353,cbd,13.0,8.0,0.0,2019.0,20.0,12.0
2019-12-21,354,cbd,11.0,7.0,0.0,2019.0,21.0,12.0
2019-12-22,355,cbd,10.0,6.0,0.0,2019.0,22.0,11.0
2019-12-23,356,cbd,8.0,5.0,0.0,2019.0,23.0,12.0
2019-12-24,357,cbd,9.0,5.0,0.0,2019.0,24.0,12.0
2019-12-25,358,cbd,4.0,3.0,0.0,2019.0,25.0,11.0
2019-12-26,359,cbd,8.0,5.0,0.0,2019.0,26.0,12.0
2019-12-27,360,cbd,7.0,5.0,0.0,2019.0,27.0,12.0
2019-12-28,361,cbd,8.0,5.0,0.0,2019.0,28.0,12.0
2019-12-29,362,cbd,7.0,4.0,0.0,2019.0,29.0,11.0
2019-12-30,363,cbd,5.0,3.0,0.0,2019.0,30.0,12.0
2019-12-31,364,cbd,13.0,8.0,0.0,2019.0,31.0,11.0
2019-01-03,365,regional,0.0,0.0,0.0,2019.0,3.0,12.0
2019-01-04,366,regional,5.0,1.0,0.5,2019.0,4.0,1.0
2019-01-05,367,regional,,,,,,
2019-01-06,368,regional,,,,,,
2019-01-07,369,regional,,,,,,
2019-01-08,370,regional,,,,,,
2019-01-09,371,regional,,,,,,
2019-01-10,372,regional,,,,,,
2019-01-11,373,regional,,,,,,
2019-01-12,374,regional,,,,,,
2019-01-13,375,regional,,,,,,
2019-01-14,376,regional,,,,,,
2019-01-15,377,regional,,,,,,
2019-01-16,378,regional,,,,,,
2019-01-17,379,regional,,,,,,
2019-01-18,380,regional,,,,,,
2019-01-19,381,regional,,,,,,
2019-01-20,382,regional,,,,,,
2019-01-21,383,regional,,,,,,
2019-01-22,384,regional,,,,,,
2019-01-23,385,regional,,,,,,
2019-01-24,386,regional,,,,,,
2019-01-25,387,regional,,,,,,
2019-01-26,388,regional,,,,,,
2019-01-27,389,regional,,,,,,
2019-01-28,390,regional,,,,,,
2019-01-29,391,regional,,,,,,
2019-01-30,392,regional,,,,,,
2019-01-31,393,regional,,,,,,
2019-02-01,394,regional,,,,,,
2019-02-02,395,regional,,,,,,
2019-02-03,396,regional,,,,,,
2019-02-04,397,regional,,,,,,
2019-02-05,398,regional,,,,,,
2019-02-06,399,regional,,,,,,
2019-02-07,400,regional,,,,,,
2019-02-08,401,regional,,,,,,
2019-02-09,402,regional,,,,,,
2019-02-10,403,regional,,,,,,
2019-02-11,404,regional,,,,,,
2019-02-12,405,regional,,,,,,
2019-02-13,406,regional,,,,,,
2019-02-14,407,regional,,,,,,
2019-02-15,408,regional,,,,,,
2019-02-16,409,regional,,,,,,
2019-02-17,410,regional,,,,,,
2019-02-18,411,regional,,,,,,
2019-02-19,412,regional,,,,,,
2019-02-20,413,regional,,,,,,
2019-02-21,414,regional,,,,,,
2019-02-22,415,regional,,,,,,
2019-02-23,416,regional,,,,,,
2019-02-24,417,regional,,,,,,
2019-02-25,418,regional,,,,,,
2019-02-26,419,regional,,,,,,
2019-02-27,420,regional,,,,,,
2019-02-28,421,regional,,,,,,
2019-03-01,422,regional,,,,,,
2019-03-02,423,regional,,,,,,
2019-03-03,424,regional,,,,,,
2019-03-04,425,regional,,,,,,
2019-03-05,426,regional,,,,,,
2019-03-06,427,regional,,,,,,
2019-03-07,428,regional,,,,,,
2019-03-08,429,regional,,,,,,
2019-03-09,430,regional,,,,,,
2019-03-10,431,regional,,,,,,
2019-03-11,432,regional,,,,,,
2019-03-12,433,regional,,,,,,
2019-03-13,434,regional,,,,,,
2019-03-14,435,regional,,,,,,
2019-03-15,436,regional,,,,,,
2019-03-16,437,regional,,,,,,
2019-03-17,438,regional,,,,,,
2019-03-18,439,regional,,,,,,
2019-03-19,440,regional,,,,,,
2019-03-20,441,regional,,,,,,
2019-03-21,442,regional,,,,,,
2019-03-22,443,regional,,,,,,
2019-03-23,444,regional,,,,,,
2019-03-24,445,regional,,,,,,
2019-03-25,446,regional,,,,,,
2019-03-26,447,regional,,,,,,
2019-03-27,448,regional,,,,,,
2019-03-28,449,regional,,,,,,
2019-03-29,450,regional,,,,,,
2019-03-30,451,regional,,,,,,
2019-03-31,452,regional,,,,,,
2019-04-01,453,regional,,,,,,
2019-04-02,454,regional,,,,,,
2019-04-03,455,regional,,,,,,
2019-04-04,456,regional,,,,,,
2019-04-05,457,regional,,,,,,
2019-04-06,458,regional,,,,,,
2019-04-07,459,regional,,,,,,
2019-04-08,460,regional,,,,,,
2019-04-09,461,regional,,,,,,
2019-04-10,462,regional,,,,,,
