Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
66 Balliang Street,"400,000",Sep 2013,,,,,,651,300,3,1,,South Geelong,26
197 Swanston Street,"345,000",21 Sep 2013,,,1.0,,,506,,2,1,1,South Geelong,26
1/227 Yarra Street,"500,000",Sep 2013,"315,000",Mar 2002,,,,194,,3,2,2,South Geelong,26
81 Balliang Street,"420,000",Sep 2013,"228,000",Aug 2001,,370,Oct 2013,464,116,3,1,1,South Geelong,26
2/260 Yarra Street,"562,000",Sep 2013,,,,,,256,220,,,,South Geelong,26
12 Fyans Street,"2,350,000",Sep 2013,,,,,,"1,422",,,,,South Geelong,26
24 Verner Street,"800,000",Aug 2013,,,,,,486,,4,2,2,South Geelong,26
300 Bellarine Street,"380,250",Aug 2013,,,,450,Apr 2018,558,,2,1,,South Geelong,26
355-357 Moorabool Street,"350,000",Aug 2013,,,,,,231,,,,,South Geelong,26
46 Lonsdale Street,"401,000",25 Aug 2013,,,1.0,,,,,2,1,1,South Geelong,26
355 Moorabool Street,"350,000",Aug 2013,,,,,,466,,,,,South Geelong,26
4 Park Crescent,"370,000",Aug 2013,"260,000",Feb 2006,,,,428,,3,,,South Geelong,26
38 Verner Street,"590,000",Jul 2013,"460,000",Mar 2007,,,,485,178,3,2,3,South Geelong,26
80 Barwon Terrace,"4,070,000",Jul 2013,,,,,,"3,265",,,,,South Geelong,26
165 Fyans Street,"1,254,000",Jul 2013,,,,,,"2,049",50,,,,South Geelong,26
316 Bellerine Street,"625,000",Jun 2013,"250,000",Sep 2011,,515,Jun 2018,886,,4,1,2,South Geelong,26
252 Bellerine Street,"435,000",Jun 2013,"105,000",Apr 1997,,,,473,,3,1,1,South Geelong,26
34 Foster Street,"490,000",Jun 2013,"145,000",Nov 2001,,445,Oct 2018,330,145,3,2,1,South Geelong,26
309 Bellerine Street,"380,000",Jun 2013,,,,320,Sep 2016,407,,3,1,2,South Geelong,26
18 Gravel Pits Road,"156,532",Jun 2013,"90,000",May 1989,,,,931,,,,,South Geelong,26
112 Balliang Street,"374,000",Jun 2013,,,,,,"1,046",,,,,South Geelong,26
20 Gravel Pits Road,"85,092",Jun 2013,,,,,,"1,861",,,,,South Geelong,26
2/49 Balliang Street,"284,000",May 2013,"235,000",Jan 2007,,300,Feb 2016,167,,,,,South Geelong,26
18 Foster Street,"362,000",Mar 2013,,,,,,134,90,2,1,1,South Geelong,26
187 Swanston Street,"380,000",26 Mar 2013,,,1.0,360,Feb 2015,296,110,3,1,2,South Geelong,26
6 Richmond Street,"410,000",Mar 2013,,,,,,,,2,1,2,South Geelong,26
12 Birkett Place,"345,000",Mar 2013,"168,000",Sep 2008,,,,875,,,,,South Geelong,26
3 Spurling Close,"380,000",Mar 2013,,,,350,Jun 2019,148,,3,1,1,South Geelong,26
