Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
25 Burgess Avenue,"580,000",Sep 2020,"205,000",Feb 2017,,400,May 2018,511,,4,2,2,Armstrong Creek,1
183 Warralily Boulevard,"607,500",Sep 2020,"161,000",Nov 2013,,,,508,218,,,,Armstrong Creek,1
51 Noosa Circuit,"503,000",Sep 2020,"147,000",Mar 2015,,390,Aug 2017,336,,3,2,2,Armstrong Creek,1
42 DECOURCY WAY,"545,000",Sep 2020,"187,000",Nov 2015,,440,Apr 2019,447,,4,2,2,Armstrong Creek,1
5 Beard Street,"445,000",Sep 2020,"364,000",Aug 2017,,350,Sep 2020,276,,3,2,1,Armstrong Creek,1
21-23 Albanel Street,"520,000",Sep 2020,,,,,,290,,,,,Armstrong Creek,1
142 Warralily Boulevard,"475,000",Sep 2020,"153,000",Jun 2012,,395,Apr 2017,399,138,3,2,2,Armstrong Creek,1
58 Madeira Street,"580,000",Sep 2020,,,,,,473,,3,2,2,Armstrong Creek,1
7 Middleton Road,"579,000",Sep 2020,,,,,,402,,4,2,2,Armstrong Creek,1
8 Creekward Drive,"530,500",Sep 2020,"167,000",Dec 2010,,,,447,152,,,,Armstrong Creek,1
2 Haven Court,"429,000",Sep 2020,,,,,,176,,3,2,2,Armstrong Creek,1
55 lot 1004 Edenhope Circuit,"283,000",Sep 2020,,,,,,,,,,,Armstrong Creek,1
12 Seifferts Street,"550,000",Aug 2020,"183,000",May 2014,,,,504,,,,,Armstrong Creek,1
15 Carter Road,"570,000",Aug 2020,"153,075",Jun 2012,,400,May 2018,434,,3,2,2,Armstrong Creek,1
5 Seifferts Street,"650,000",Aug 2020,"545,000",Oct 2017,,,,546,,4,2,2,Armstrong Creek,1
269 Warralily Boulevard,"570,000",Aug 2020,,,,,,448,,4,2,2,Armstrong Creek,1
37 Monterey Street,"424,000",Aug 2020,,,,,,185,,,,,Armstrong Creek,1
44 Noosa Circuit,"500,000",Aug 2020,,,,,,335,,,,,Armstrong Creek,1
17 Lyall Street,"580,000",Aug 2020,"180,000",Jun 2014,,470,Nov 2020,444,,4,2,2,Armstrong Creek,1
57 Edenhope Circuit,"565,000",Aug 2020,,,,,,400,,4,2,2,Armstrong Creek,1
23 Rottness Drive,"598,000",Aug 2020,,,,,,510,,4,2,2,Armstrong Creek,1
10 MCKINLEY Avenue,"500,000",Aug 2020,"152,000",Apr 2016,,390,Sep 2019,400,,,,,Armstrong Creek,1
17 Coastal Drive,"600,000",Aug 2020,"209,000",Nov 2010,,,,523,182,,,,Armstrong Creek,1
20 Ross Street,"575,000",Aug 2020,,,,,,399,,,,,Armstrong Creek,1
14 Daybreak Avenue,"625,000",Aug 2020,"491,000",Apr 2017,,,,489,,4,2,2,Armstrong Creek,1
12 Iris Loop,"615,000",Aug 2020,,,,,,447,,4,2,2,Armstrong Creek,1
49 Middleton Road,"580,000",Aug 2020,,,,,,455,,,,,Armstrong Creek,1
Lot 107/17 Atherton Street,"307,500",Aug 2020,,,,,,512,,,,,Armstrong Creek,1
28 Dooliebeal Avenue,"620,000",Aug 2020,,,,,,456,,4,2,2,Armstrong Creek,1
14 Chelsea Drive,"197,500",Aug 2020,,,,,,,,,,,Armstrong Creek,1
814 Barwon Heads Road,"580,000",Aug 2020,"171,000",Feb 2000,,,,507,,,,,Armstrong Creek,1
9 Rottness Drive,"580,000",Aug 2020,"164,000",Feb 2000,,,,448,,,,,Armstrong Creek,1
182 Warralily Boulevard,"592,500",Aug 2020,,,,530,May 2019,469,,4,2,2,Armstrong Creek,1
18 Tenterfield Street,"495,000",Aug 2020,,,,,,335,,4,2,1,Armstrong Creek,1
25 Mallacoota Crescent,"620,000",Aug 2020,"550,000",Feb 2018,,,,448,222,4,2,2,Armstrong Creek,1
14 Saltbreeze Boulevard,"605,500",Aug 2020,"445,000",Jun 2015,,,,506,177,4,2,2,Armstrong Creek,1
23 Vaughan Drive,"472,500",Aug 2020,,,,,,323,,3,2,2,Armstrong Creek,1
Lot 329 McArthur Crescent,"240,000",Aug 2020,,,,,,,,,,,Armstrong Creek,1
26 Nature Street,"320,000",Aug 2020,,,,,,513,,,,,Armstrong Creek,1
15 Hammond Street,"545,000",Aug 2020,,,,430,Jun 2019,446,,4,2,2,Armstrong Creek,1
40 Daybreak Avenue,"572,500",Aug 2020,"162,000",May 2013,,,,498,168,,,,Armstrong Creek,1
1/5 Kookaburra Drive,"420,000",Aug 2020,,,,,,,,,,,Armstrong Creek,1
3 Corella Road,"396,000",Aug 2020,,,,,,,,,,,Armstrong Creek,1
77A Iris Loop,"495,000",Aug 2020,,,,,,336,,3,2,2,Armstrong Creek,1
9 Vaughan Drive,"310,000",Aug 2020,,,,,,568,,,,,Armstrong Creek,1
Lot 9417/21 Swaine Street,"255,000",Aug 2020,,,,,,,,,,,Armstrong Creek,1
12 Chelsea Drive,"217,000",Jul 2020,,,,,,,,,,,Armstrong Creek,1
13 McCormack Avenue,"462,000",Jul 2020,,,,400,Aug 2020,262,,3,2,2,Armstrong Creek,1
1 Jindabyne Street,"607,000",Jul 2020,,,,,,499,,,,,Armstrong Creek,1
Lot 36 Monterey Street,"474,000",Jul 2020,,,,,,184,,,,,Armstrong Creek,1
Lot 30 Monterey Street,"474,000",Jul 2020,,,,,,184,,,,,Armstrong Creek,1
Lot 46 Monterey Street,"459,000",Jul 2020,,,,,,184,,,,,Armstrong Creek,1
15 Canoe Street,"570,000",Jul 2020,"175,500",Jul 2014,,,,447,168,,,,Armstrong Creek,1
24 Lance Drive,"650,000",Jul 2020,,,,,,505,,4,2,2,Armstrong Creek,1
Lot 9415/17 Swaine Street,"255,000",Jul 2020,,,,,,,,,,,Armstrong Creek,1
40 MALLACOOTA Crescent,"486,000",Jul 2020,"160,000",Feb 2016,,,,424,,,,,Armstrong Creek,1
"Lot 628, 8 Myna Way","272,000",Jul 2020,,,,,,,,,,,Armstrong Creek,1
23 Lampard Street,"650,000",Jul 2020,,,,,,554,,,,,Armstrong Creek,1
804 Barwon Heads Road,"512,000",Jul 2020,"152,000",Aug 2010,,,,399,,,,,Armstrong Creek,1
Lot 9624/17 Vienet Avenue,"279,000",Jul 2020,,,,,,,,,,,Armstrong Creek,1
31-35 Sirrom Crescent,"765,000",Jul 2020,,,,,,703,,5,3,6,Armstrong Creek,1
6 Esperance Avenue,"547,500",Jul 2020,,,,,,350,,,,,Armstrong Creek,1
15 Beekeeper Road,"645,000",Jul 2020,"186,000",Apr 2012,,,,592,212,,,,Armstrong Creek,1
10 Sanderling Avenue,"455,000",Jul 2020,,,,,,507,,3,2,2,Armstrong Creek,1
Lot 323 McArthur Crescent,"240,000",Jul 2020,,,,,,,,,,,Armstrong Creek,1
48 Monterey Street,"459,000",Jul 2020,,,,,,176,,3,2,2,Armstrong Creek,1
26-28 Wild Oak Avenue,"558,000",Jul 2020,,,,,,462,,,,,Armstrong Creek,1
Lot 211 Atherton Street,"216,000",Jul 2020,,,,,,,,,,,Armstrong Creek,1
51 Element Circuit,"525,000",Jul 2020,,,,,,,,4,2,2,Armstrong Creek,1
25 Coastside Drive,"545,000",Jul 2020,"183,000",Nov 2013,,460,Mar 2018,507,338,,,,Armstrong Creek,1
16 Neville Drive,"490,000",Jul 2020,"156,000",Dec 2015,,390,Mar 2017,337,,3,2,2,Armstrong Creek,1
15 Secluded Drive,"605,000",Jul 2020,,,,,,452,,4,2,2,Armstrong Creek,1
11 Madeira Street,"485,000",Jul 2020,,,,,,274,,,,,Armstrong Creek,1
49 Lance Drive,"550,000",Jul 2020,,,,,,448,,3,2,2,Armstrong Creek,1
19 KOSLOW Street,"619,000",Jul 2020,"189,000",Feb 2016,,460,Jul 2019,447,,,,,Armstrong Creek,1
Lot 47 Monterey Street,"459,000",Jul 2020,,,,,,176,,,,,Armstrong Creek,1
