Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
125 Barwarre Road,"422,000",Feb 2016,"141,000",Mar 2009,,500,Jul 2015,471,,4,2,3,Marshall,18
11 Grove Road,"377,000",Feb 2016,"347,500",Feb 2010,,,,450,120,3,1,2,Marshall,18
1-2 Speranza Court,"342,500",Feb 2016,,,,350,Jan 2016,381,,3,2,2,Marshall,18
11 Werner Avenue,"440,000",Feb 2016,"150,500",Mar 2009,,,,534,183,4,2,2,Marshall,18
5 MORETTI Court,"184,000",Feb 2016,,,,420,Sep 2016,470,,4,2,2,Marshall,18
39 Werner Avenue,"445,000",Feb 2016,"148,500",Oct 2009,,,,534,201,4,2,2,Marshall,18
14-15 MORETTI Court,"176,500",Jan 2016,,,,370,Sep 2017,374,,4,2,2,Marshall,18
3/70-72 Marshalltown Road,"285,000",Jan 2016,"90,500",Jun 2000,,,,229,,,,,Marshall,18
Lot 3 Stage 2Macfarlane Street,"174,000",Jan 2016,,,,,,548,,,,,Marshall,18
4 MORETTI Court,"175,000",Jan 2016,,,,,,410,,2,1,1,Marshall,18
9 ALLEGRO Court,"169,000",Jan 2016,,,,400,Dec 2017,319,,2,1,,Marshall,18
19 MORETTI Court,"171,000",Jan 2016,,,,,,347,,,,,Marshall,18
12 MORETTI Court,"175,000",Jan 2016,,,,440,Sep 2019,362,,4,2,2,Marshall,18
L315 Moretti Court,"166,500",Jan 2016,,,,,,364,,,,,Marshall,18
L309 Moretti Court,"172,250",Jan 2016,,,,,,410,,,,,Marshall,18
L307 Moretti Court,"171,000",Jan 2016,,,,,,380,,,,,Marshall,18
L316 Moretti Court,"172,250",Jan 2016,,,,,,363,,,,,Marshall,18
32 MacFarlane Street,"346,000",Dec 2015,"145,000",Apr 2010,,400,Jan 2019,358,114,3,1,1,Marshall,18
18 MORETTI Court,"171,500",Dec 2015,,,,395,Sep 2016,316,,4,2,2,Marshall,18
20 MORETTI Court,"171,000",Dec 2015,,,,,,380,,,,,Marshall,18
8 MORETTI Court,"175,000",Dec 2015,,,,410,May 2019,372,,4,2,2,Marshall,18
