Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
6/220 Wilsons Road,"175,000",Nov 2017,"127,500",Apr 2013,,190,Jul 2016,,,1,1,,Whittington,31
15 Koala Court,"346,000",Oct 2017,"97,000",Apr 2006,,,,332,102,,,,Whittington,31
2 Casaceli Court,"342,500",Oct 2017,"240,000",Feb 2015,,285,Feb 2017,590,,3,1,1,Whittington,31
6 Galaxy Court,"351,000",Oct 2017,"310,500",Mar 2013,,,,855,128,3,1,2,Whittington,31
233 Wilsons Road,"312,000",Oct 2017,"255,000",Feb 2013,,325,Dec 2017,558,102,4,1,1,Whittington,31
195 Boundary Road,"347,500",Oct 2017,,,,,,659,,3,1,2,Whittington,31
139 Solar Drive,"292,000",Oct 2017,"218,000",Jan 2014,,195,Apr 2009,574,,3,1,4,Whittington,31
5/216 Wilsons Road,"210,000",07 Oct 2017,,,1.0,230,Feb 2016,,,,,,Whittington,31
5/214-216 Wilsons Road,"210,000",Oct 2017,"140,000",Oct 2003,,230,Feb 2016,128,,,,,Whittington,31
5/214 Wilsons Road,"210,000",07 Oct 2017,"140,000",Oct 2003,1.0,,,128,,,,,Whittington,31
2/197-201 Boundary Road,"198,000",Oct 2017,"120,000",Aug 2007,,220,Nov 2017,109,,,,,Whittington,31
2/197 Boundary Road,"198,000",Oct 2017,"120,000",Aug 2007,,220,Aug 2018,109,,1,1,1,Whittington,31
15B Orbit Drive,"250,000",Oct 2017,,,,,,,,,,,Whittington,31
51 Hickey Street,"377,000",Sep 2017,"180,000",Feb 2000,,,,674,,3,1,,Whittington,31
12 Bellagio Court,"440,000",Sep 2017,"392,000",May 2012,,395,Dec 2013,505,224,4,2,2,Whittington,31
15 Freedom Court,"294,000",Sep 2017,"165,250",May 2005,,,Rent Out.,564,,3,1,2,Whittington,31
141 Solar Drive,"298,000",Sep 2017,"244,000",Sep 2011,,310,Oct 2017,568,,3,1,1,Whittington,31
2/144-152 Wilsons Road,"155,000",Sep 2017,"97,500",Jun 2005,,120,Jul 2007,"1,017",,,,,Whittington,31
32 Regent Street,"317,000",Sep 2017,"277,500",Oct 2014,,320,Feb 2019,391,102,3,1,1,Whittington,31
2/158 Wilsons Road,"225,000",Aug 2017,"160,000",May 2003,,,,236,75,,,,Whittington,31
57 Solar Drive,"320,000",Aug 2017,"66,500",Dec 1992,,,,566,,4,1,2,Whittington,31
9 Lovell Court,"326,000",Aug 2017,"200,000",Sep 2011,,335,Nov 2018,575,,3,1,4,Whittington,31
1/5 Cernan Court,"260,600",Aug 2017,"185,000",Apr 2014,,300,Apr 2019,282,105,,,,Whittington,31
1/3 Armstrong Court,"229,000",Aug 2017,"209,950",Oct 2010,,280,Jul 2018,364,,3,1,1,Whittington,31
10/117-121 Solar Drive,"154,000",Jul 2017,"138,000",Sep 2013,,165,Nov 2015,120,,,,,Whittington,31
1/180 Coppards Road,"200,001",Jul 2017,"180,000",Feb 2005,,265,Nov 2018,135,77,,,,Whittington,31
2/51 Regent Street,"338,000",Jul 2017,,,,370,Jan 2021,275,,,,,Whittington,31
2/1 Apollo Place,"218,000",Jul 2017,"78,000",Jul 1992,,280,Nov 2019,198,,,,,Whittington,31
10/117 Solar Drive,"154,000",Jul 2017,"138,000",Sep 2013,,170,Sep 2015,120,40,,,,Whittington,31
2/1-3 Apollo Place,"218,000",Jul 2017,"78,000",Jul 1992,,230,Oct 2014,198,,,,,Whittington,31
5/20 Regent Street,"210,500",Jul 2017,"177,000",Aug 2012,,260,Jan 2019,48,,,,,Whittington,31
15 Ranger Court,"312,000",Jul 2017,"180,000",Jul 2015,,330,Sep 2017,558,104,3,1,2,Whittington,31
49 Melva Crescent,"290,000",Jul 2017,"216,000",Apr 2007,,275,May 2013,325,,3,1,1,Whittington,31
16 Patrick Street,"230,000",Jul 2017,,,,,,646,,4,1,2,Whittington,31
1/61 Regent Street,"287,000",Jun 2017,"249,000",Jun 2009,,310,Sep 2018,263,101,,,,Whittington,31
7B Bettsons Court,"375,000",Jun 2017,"330,000",Aug 2012,,330,Oct 2012,379,145,,,,Whittington,31
5/220-222 Wilsons Road,"195,000",Jun 2017,"185,000",Oct 2013,,200,Jun 2016,60,,,,,Whittington,31
9/211-213 Boundary Road,"250,000",May 2017,"170,000",Oct 2003,,285,May 2016,214,,,,,Whittington,31
35 Oxford Street,"316,000",May 2017,"247,500",Jun 2014,,300,Jun 2017,602,,3,1,3,Whittington,31
42 Regent Street,"315,000",May 2017,"249,000",Feb 2012,,315,Aug 2017,683,106,3,1,1,Whittington,31
11 Chapel Street,"400,000",May 2017,,,,,,665,,,,,Whittington,31
239 Boundary Road,"328,000",May 2017,"279,000",Oct 2013,,340,Jun 2017,528,127,3,1,2,Whittington,31
16 Regent Street,"350,000",29 Apr 2017,,,1.0,350,Jun 2018,"1,041",,3,1,1,Whittington,31
45 Townsend Road,"290,000",Apr 2017,"230,000",Apr 2010,,300,Jan 2018,779,,3,1,2,Whittington,31
44 Regent Street,"498,000",01 Apr 2017,"350,700",Oct 2008,1.0,350,Aug 2018,"1,092",154,4,2,4,Whittington,31
43 Townsend Road,"245,000",25 Mar 2017,"68,000",Dec 2000,1.0,270,May 2017,789,,3,1,2,Whittington,31
2/38 Orbit Drive,"200,000",Mar 2017,"65,000",Feb 2000,,260,Jan 2021,178,,,,,Whittington,31
6 Monash Court,"350,000",Mar 2017,"325,000",Sep 2014,,,,738,,3,2,2,Whittington,31
4/1-3 Apollo Place,"215,000",Mar 2017,"185,000",Jun 2009,,240,May 2012,166,,,,,Whittington,31
4/1 Apollo Place,"215,000",Mar 2017,"185,000",Jun 2009,,230,May 2012,166,,,,,Whittington,31
22 Lino Court,"240,000",Mar 2017,"145,000",Aug 2002,,,,822,,3,1,1,Whittington,31
4/53 Regent,"215,000",Mar 2017,,,,,,,,,,,Whittington,31
4/53 Regent Street,"215,000",Mar 2017,"195,000",Dec 2015,,290,Aug 2017,94,,,,,Whittington,31
6 Ariel Court,"225,000",Mar 2017,"71,000",Mar 1994,,370,Oct 2019,598,,3,1,1,Whittington,31
11 Armstrong Court,"280,000",Feb 2017,"155,000",Apr 2005,,,,732,,3,1,1,Whittington,31
5/17 Truscott Street,"183,000",Feb 2017,"150,700",Mar 2010,,200,Oct 2019,193,60,,,,Whittington,31
18 Worden Court,"255,000",Feb 2017,"228,000",Jun 2011,,360,Feb 2021,648,,3,1,2,Whittington,31
2/14 Oxford Street,"252,000",Feb 2017,"247,500",Feb 2013,,280,Jul 2017,167,,,,,Whittington,31
1/53 Townsend Road,"182,500",Feb 2017,,,,,,240,,,,,Whittington,31
2/7 Patrick Street,"258,000",Feb 2017,"227,000",Apr 2012,,290,Apr 2019,232,,,,,Whittington,31
7 Vostok Court,"245,000",Feb 2017,"225,000",Jan 2016,,250,May 2009,575,89,3,1,1,Whittington,31
18 Bettsons Court,"350,000",Feb 2017,"123,000",Nov 1994,,340,Mar 2019,668,,3,2,1,Whittington,31
98 Solar Drive,"250,000",Jan 2017,"225,000",May 2014,,310,Mar 2018,663,112,3,1,2,Whittington,31
