Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
3/07/2019,7.5,13.3,0,,,WSW,20,13:00:00,9.9,96,,W,6,1030.9,12.8,93,,SW,7,1031.8
4/07/2019,6.1,14.2,1,,,ESE,24,11:51:00,12,85,,SE,6,1037.8,12.4,76,,NE,9,1035.3
5/07/2019,3.8,14.2,0.2,,,NE,17,15:09:00,6.6,97,,NE,4,1036.2,13.2,75,,NE,11,1032.4
6/07/2019,3.7,18,0,,,NE,24,11:54:00,9.6,94,,NE,7,1032.8,16.7,66,,NE,11,1030.1
7/07/2019,9.3,16.4,0,,,NE,26,10:12:00,12.4,90,,NE,15,1028,15.2,77,,NNE,13,1024.9
8/07/2019,8,15.3,6.6,,,WNW,33,15:05:00,9.1,96,,WSW,6,1025.3,14.8,66,,WNW,20,1022.6
9/07/2019,6.6,14.8,0.2,,,W,39,12:36:00,9.6,94,,SW,4,1020.5,14.3,68,,WNW,20,1016.7
10/07/2019,8.9,15.4,0,,,NNW,76,21:11:00,11.2,74,,N,22,1010.2,14.6,59,,N,24,1002.2
11/07/2019,8.3,13.5,2.4,,,NW,69,00:22:00,10.9,76,,NW,33,1003.8,12.5,81,,W,41,1004.2
12/07/2019,10.8,14,2.2,,,WNW,70,11:49:00,12.9,87,,WNW,26,1002.7,10.9,72,,WNW,26,1003.5
13/07/2019,5.7,12.7,3.2,,,WSW,54,14:37:00,7.1,93,,WNW,20,1012.5,8.7,69,,W,30,1017.7
14/07/2019,6,13.3,0.4,,,W,74,15:59:00,8.7,94,,WNW,19,1018.3,12.3,92,,W,33,1014.9
15/07/2019,7.8,15,1.8,,,W,48,15:12:00,10.1,93,,WSW,19,1022.2,14.6,80,,W,22,1020.7
16/07/2019,9.7,14.8,0,,,W,44,14:09:00,10.8,93,,W,15,1023,14.1,76,,WSW,19,1021.2
17/07/2019,9,14.7,0.2,,,WNW,50,14:37:00,10.2,93,,NW,22,1016.5,14.4,69,,WNW,30,1012
18/07/2019,6.9,14.4,0.8,,,NNW,35,21:11:00,8.9,93,,WNW,11,1017.9,14,57,,NW,17,1014.3
19/07/2019,7,14.6,0.2,,,WNW,33,00:43:00,9.2,95,,WNW,7,1021,13.8,57,,NW,15,1019.7
20/07/2019,7,17,0,,,N,37,14:58:00,10.2,93,,NNE,15,1018.3,16.8,48,,N,22,1013.2
21/07/2019,10.2,14.9,0,,,NNW,48,05:16:00,12.7,61,,NW,22,1009.2,14.2,50,,WNW,19,1010.8
