,address,sold,last sold,rent,house_info,land_size
42,5A Lonsdale Street,"Sold $720,000 in Oct 2017","Last Sold $635,000 in Jul 2015", ,Townhouse: 3  2  2 ,Land size: 259 sqm
43,18 Lonsdale Street,"Sold $660,000 in Oct 2017","Last Sold $76,000 in Mar 1992", ,House: 3  1  2 ,Land size: 487 sqm
44,1/258 Yarra Street,"Sold $645,000 in Sep 2017","Last Sold $570,000 in Sep 2013(Auction)",Rent $475pw in Feb 2017,Townhouse: 3  2  1 ,Land size: 259 sqm | Building size: 134 sqm
45,142a Fyans Street,"Sold $860,000 in Sep 2017","Last Sold $480,000 in Feb 2007","Rent $43,000pw in Mar 2015", ,Land size: 422 sqm
46,3/85 Fyans Street,"Sold $175,000 in Aug 2017","Last Sold $140,000 in Jan 2008",Rent $185pw in Jun 2017, ,Land size: 729 sqm
47,1/35 Fyans Street,"Sold $580,000 in Aug 2017","Last Sold $409,250 in Nov 2009", ,House: 3  1  1 ,Land size: 312 sqm | Building size: 140 sqm
48,4/15 Mundy Street,"Sold $361,000 in Jul 2017", ,Rent $340pw in Feb 2019, , 
49,23 Fyans Street,"Sold $661,000 in Jun 2017","Last Sold $71,000 in Mar 1987", ,House: 3  ,Land size: 268 sqm
50,85 Bailliang Street,"Sold $620,000 in May 2017", , , , 
51,85 Balliang Street,"Sold $620,000 in 13 May 2017(Auction)","Last Sold $380,500 in Feb 2010", ,House: 3  1  3 ,Land size: 472 sqm | Building size: 112 sqm
52,14 Hede Street,"Sold $800,000 in May 2017","Last Sold $175,000 in Apr 2005", , ,Land size: 868 sqm | Building size: 682 sqm
53,82 Foster Street,"Sold $597,000 in 06 May 2017(Auction)","Last Sold $440,000 in Feb 2011(Auction)",Rent $520pw in Mar 2019,House: 3  1  2 ,Land size: 405 sqm
54,Lot 2 87 Fyans Street,"Sold $195,000 in Apr 2017", , , , 
55,48A Balliang Street,"Sold $665,000 in Apr 2017","Last Sold $415,000 in Sep 2011", ,House: 3  3  2 ,Land size: 281 sqm
56,20 Park Crescent,"Sold $575,000 in Mar 2017","Last Sold $417,500 in Dec 2013(Auction)",Rent $405pw in Nov 2019,House: 3  1  2 ,Land size: 515 sqm
57,4/2 Foster Street,"Sold $342,000 in Mar 2017","Last Sold $280,400 in Mar 2013", , ,Land size: 114 sqm | Building size: 68 sqm
58,1 Crown Street,"Sold $2,200,000 in Feb 2017","Last Sold $1,100,000 in Sep 1997", , ,"Land size: 11,293 sqm | Building size: 1880 sqm"
59,274 Yarra Street,"Sold $290,000 in 04 Feb 2017(Auction)","Last Sold $197,000 in May 2004", ,House: 2  1  2 ,Land size: 303 sqm | Building size: 85 sqm
60,272 Yarra Street,"Sold $340,000 in 04 Feb 2017(Auction)","Last Sold $305,000 in Nov 2012", ,Townhouse: 2  1  2 ,Land size: 309 sqm | Building size: 80 sqm
61,26 Park Crescent,"Sold $882,500 in Feb 2017","Last Sold $645,000 in May 2008", ,House: 4  2  3 ,Land size: 449 sqm
