,address,sold,last sold,rent,house_info,land_size
110,1/191 Barwarre Road,"Sold $396,100 in May 2017","Last Sold $142,000 in Aug 2009", ,House: 4  1  1 ,Land size: 399 sqm
111,19-20 Chambers Court,"Sold $391,000 in Apr 2017","Last Sold $286,000 in May 2008", , ,Land size: 583 sqm
112,24 Werner Avenue,"Sold $434,000 in Apr 2017","Last Sold $139,800 in Feb 2000",Rent $395pw in Apr 2016,House: 3  2  2 ,Land size: 484 sqm
113,11 Nikola Court,"Sold $430,000 in Apr 2017","Last Sold $145,900 in Jan 2009",Rent $420pw in May 2018,House: 4  2  2 ,Land size: 465 sqm | Building size: 178 sqm
114,16 Adair Court,"Sold $420,000 in Apr 2017", ,Rent $400pw in Jul 2018,House: 3  2  2 ,Land size: 370 sqm
115,17-19 Oriondo Way,"Sold $412,000 in Mar 2017","Last Sold $164,000 in May 2012", ,House: 3  2  2 ,Land size: 338 sqm
116,22 Marvins Place,"Sold $375,000 in Mar 2017","Last Sold $145,000 in Sep 2009", , ,Land size: 450 sqm
117,12 Reedy Link,"Sold $425,000 in Mar 2017","Last Sold $305,801 in Mar 2009",Rent $400pw in Jun 2017,House: 3  2  2 ,Land size: 480 sqm
118,16 Grove Road,"Sold $460,000 in Mar 2017", , ,House: 3  2  2 ,Land size: 708 sqm
119,13-15 Marvins Place,"Sold $450,000 in Mar 2017","Last Sold $150,000 in Jul 2009",Rent $410pw in Jul 2011,House: 4  2  2 ,Land size: 632 sqm
120,3 Minka Court,"Sold $381,000 in Mar 2017","Last Sold $336,000 in Mar 2010",Rent $450pw in Jun 2020, ,Land size: 853 sqm
121,47 Barwarre Road,"Sold $420,000 in Feb 2017","Last Sold $142,000 in Jul 2009", , ,Land size: 437 sqm | Building size: 173 sqm
122,2-4 Basford Court,"Sold $364,000 in Jan 2017","Last Sold $307,000 in Oct 2013", ,House: 3  1  1 ,Land size: 448 sqm
123,18 Werner Avenue,"Sold $395,000 in Jan 2017","Last Sold $147,000 in Mar 2009", ,House: 4  1  1 ,Land size: 484 sqm
124,6/66 Station Road,"Sold $305,000 in Jan 2017","Last Sold $85,000 in Feb 2000", , ,Land size: 243 sqm
125,15 Macfarlane Street,"Sold $412,750 in Dec 2016","Last Sold $154,000 in Mar 2009", ,House: 3  2  2 ,Land size: 550 sqm | Building size: 150 sqm
126,14/66 Station Road,"Sold $350,000 in Dec 2016","Last Sold $85,000 in Feb 2000", , ,Land size: 188 sqm
127,6/64-68 Station Road,"Sold $305,000 in Dec 2016", , ,House: 2  1  , 
128,16/64-68 Station Road,"Sold $370,000 in Dec 2016", , , , 
129,6 Emilija Court,"Sold $307,000 in Nov 2016","Last Sold $275,000 in May 2010",Rent $300pw in Dec 2015,House: 2  1  1 ,Land size: 265 sqm | Building size: 96 sqm
130,5 Priory Court,"Sold $470,000 in Nov 2016","Last Sold $440,000 in Feb 2014", ,House: 4  2  2 ,Land size: 714 sqm
