,address,sold,last sold,rent,house_info,land_size
27,5 Myrtle Grove,"Sold $522,000 in Nov 2017","Last Sold $81,000 in Jan 1999", ,House: 3  1  ,Land size: 718 sqm
28,63 The Esplanade,"Sold $1,255,000 in 28 Oct 2017(Auction)","Last Sold $150,000 in Jun 1995", ,House: 4  2  3 ,"Land size: 1,328 sqm"
29,6 Myrtle Grove,"Sold $525,000 in Oct 2017","Last Sold $280,000 in Nov 2012(Auction)", ,House: 3  2  1 ,Land size: 766 sqm | Building size: 99 sqm
30,26 Foch Street,"Sold $610,500 in Oct 2017","Last Sold $117,000 in Oct 2007", , ,Land size: 657 sqm | Building size: 474 sqm
31,18A Pine Avenue,"Sold $436,000 in 23 Sep 2017(Auction)", ,Rent $330pw in Feb 2019,House: 3  1  1 ,Land size: 500 sqm
32,23 Myrtle Grove,"Sold $685,000 in Aug 2017","Last Sold $80,000 in Jan 2000", ,House: 5  3  4 ,Land size: 719 sqm | Building size: 338 sqm
33,8 Seaforth Street,"Sold $184,008 in Jul 2017","Last Sold $84,000 in Oct 1989", ,House: 3  3  3 ,Land size: 694 sqm
34,12 Seaside Parade,"Sold $330,000 in Jul 2017","Last Sold $230,000 in Apr 2012", , ,Land size: 689 sqm | Building size: 368 sqm
35,2 Pine Avenue,"Sold $490,000 in 27 May 2017(Auction)","Last Sold $80,000 in Oct 1999", ,House: 3  1  1 ,"Land size: 1,009 sqm | Building size: 121 sqm"
36,16 Seaforth Street,"Sold $335,000 in 01 Apr 2017(Auction)","Last Sold $190,000 in Mar 2012", ,House: 3  1  1 ,Land size: 699 sqm | Building size: 102 sqm
37,18 Seaforth Street,"Sold $327,000 in 01 Apr 2017(Auction)","Last Sold $190,000 in Feb 2012(Auction)", ,House: 2  1  1 ,Land size: 692 sqm
