,address,sold,last sold,rent,house_info,land_size
138,4/50 Eastern Beach Road,"Sold $499,000 in Oct 2018","Last Sold $312,000 in Dec 2011",Rent $365pw in Jan 2017, ,"Land size: 1,187 sqm"
139,135 Verner Street,"Sold $990,000 in Oct 2018","Last Sold $521,000 in Sep 2016(Auction)",Rent $310pw in Feb 2012,House: 3  1  1 ,Land size: 542 sqm
140,403/120 Brougham Street,"Sold $975,000 in Oct 2018","Last Sold $750,000 in May 2013(Auction)", , ,Land size: 934 sqm | Building size: 123 sqm
141,371 Ryrie Street,"Sold $1,637,500 in Oct 2018","Last Sold $1,450,000 in Mar 2015(Auction)",Rent $600pw in Jul 2015,House: 4  2  2 ,"Land size: 1,154 sqm | Building size: 267 sqm"
142,364 Ryrie Street,"Sold $815,000 in Oct 2018","Last Sold $400,000 in Sep 2006",Rent $510pw in Jan 2019,House: 3  1  2 ,Land size: 169 sqm
143,13 Sydney Avenue,"Sold $1,300,000 in Oct 2018","Last Sold $682,500 in Jun 2011", ,House: 3  2  2 ,Land size: 574 sqm | Building size: 196 sqm
144,1 Pevensey Crescent,"Sold $1,475,000 in Sep 2018","Last Sold $710,000 in Feb 2004", ,House: 3  2  1 ,Land size: 455 sqm
145,703/8 Gheringhap Street,"Sold $480,000 in Sep 2018","Last Sold $415,000 in Nov 2014",Rent $425pw in Apr 2016, ,Land size: 774 sqm
146,100 Swanston Street,"Sold $660,000 in Sep 2018","Last Sold $390,500 in Nov 2012",Rent $250pw in Sep 2007,House: 3  1  1 ,Land size: 324 sqm | Building size: 119 sqm
147,14 Brownbill Street,"Sold $790,000 in 15 Sep 2018(Auction)","Last Sold $79,000 in Sep 1988",Rent $575pw in Mar 2020,House: 2  2  1 ,Land size: 465 sqm
148,172 Bellerine Street,"Sold $670,000 in 15 Sep 2018(Auction)","Last Sold $422,000 in Mar 2012",Rent $450pw in Jan 2019,House: 3  1  2 ,Land size: 287 sqm
149,1/140 Gheringhap Street,"Sold $600,000 in Sep 2018","Last Sold $432,000 in Jun 2007", ,House: 3  2  1 ,Land size: 119 sqm
150,24 Park Street,"Sold $1,120,000 in 08 Sep 2018(Auction)", ,Rent $320pw in Jul 2020,House: 4  2  2 ,Land size: 767 sqm
151,5 Vincent Avenue,"Sold $1,260,000 in Sep 2018","Last Sold $1,150,000 in Feb 2017", ,House: 4  2  2 ,Land size: 562 sqm
152,160 Gheringhap Street,"Sold $595,000 in 01 Sep 2018(Auction)","Last Sold $340,000 in Dec 2009",Rent $340pw in Jan 2011,House: 3  2  1 ,Land size: 221 sqm | Building size: 127 sqm
153,504/8 Gheringhap Street,"Sold $720,000 in Aug 2018","Last Sold $583,000 in Apr 2014",Rent $600pw in Nov 2018,House: 3  2  1 ,Land size: 774 sqm | Building size: 116 sqm
154,304/8 Mclarty Place,"Sold $555,000 in Aug 2018","Last Sold $420,000 in Nov 2014", ,House: 2  1  1 ,Land size: 565 sqm | Building size: 86 sqm
155,6/141 Yarra Street,"Sold $520,000 in Aug 2018","Last Sold $510,000 in Aug 2012",Rent $430pw in Mar 2015, ,Land size: 323 sqm
156,102/64-66 Eastern Beach Road,"Sold $980,000 in 25 Aug 2018(Auction)","Last Sold $771,000 in Nov 2008",Rent $495pw in Jan 2018, , 
157,102/64 Eastern Beach Road,"Sold $980,000 in 25 Aug 2018(Auction)","Last Sold $771,000 in Nov 2008",Rent $495pw in Feb 2018, ,"Land size: 2,538 sqm"
158,6/141-143 Yarra Street,"Sold $520,000 in Aug 2018","Last Sold $510,000 in Aug 2012",Rent $430pw in Mar 2015,House: 2  2  1 ,Land size: 596 sqm
159,5/73-75 Maud Street,"Sold $441,000 in 18 Aug 2018(Auction)","Last Sold $215,000 in Mar 2007",Rent $345pw in Jun 2017, ,Land size: 204 sqm
160,5/73 Maud Street,"Sold $441,000 in 18 Aug 2018(Auction)","Last Sold $215,000 in Mar 2007",Rent $335pw in Jan 2018, ,Land size: 204 sqm
161,1 Stringers Lane,"Sold $1,130,000 in Aug 2018","Last Sold $65,000 in Aug 1998", ,House: 3  2  2 ,Land size: 448 sqm
162,136 Fitzroy Street,"Sold $681,000 in Aug 2018","Last Sold $450,000 in Jun 2016(Auction)", ,House: 3  1  1 ,Land size: 391 sqm
