,address,sold,last sold,rent,house_info,land_size
158,43 Unity Drive,"Sold $630,000 in Aug 2018", , ,House: 4  2  2 ,Land size: 448 sqm
159,Lot 248 Canyon Street,"Sold $269,000 in Jul 2018", , , , 
160,23 Glider Street,"Sold $555,000 in Jul 2018", , ,House: 3  2  2 ,Land size: 400 sqm
161,120 Sovereign Drive,"Sold $467,000 in Jul 2018","Last Sold $122,500 in Sep 2014", ,House: 3  2  2 ,Land size: 261 sqm
162,29 Aviation Drive,"Sold $525,000 in Jul 2018", ,Rent $420pw in Jan 2017,House: 4  2  2 ,Land size: 400 sqm
163,421 Otago Street,"Sold $456,785 in Jul 2018", , ,House: 3  2  2 , 
164,2 Franklin Road,"Sold $540,000 in Jul 2018", ,Rent $415pw in Oct 2018,House: 3  2  2 ,Land size: 259 sqm
165,14 Roosevelt Road,"Sold $56,000 in Jul 2018", , ,House: 3  2  2 ,Land size: 383 sqm
166,54 Golden Wattle Drive,"Sold $708,000 in Jun 2018","Last Sold $233,900 in Apr 2014", ,House: 4  2  2 ,Land size: 648 sqm
167,Lot 243 Harlan Avenue,"Sold $278,000 in Jun 2018", , , , 
168,14 Decalage Street,"Sold $360,000 in Jun 2018", , , , 
169,Lot 259 Harlan Avenue,"Sold $209,000 in Jun 2018", , , , 
170,20 Remarkable Drive,"Sold $555,000 in Jun 2018","Last Sold $461,000 in Sep 2016", ,House: 4  2  2 ,Land size: 400 sqm
171,26 Latitude Street,"Sold $257,100 in Jun 2018", , , ,Land size: 348 sqm
172,37 Golden Wattle Drive,"Sold $490,000 in Jun 2018", , ,House: 3  2  1 ,Land size: 224 sqm
173,4 Franklin Road,"Sold $528,000 in Jun 2018","Last Sold $127,702 in Aug 2014", ,House: 3  2  2 ,Land size: 300 sqm
174,2 EMINENCE Street,"Sold $572,500 in Jun 2018","Last Sold $149,900 in Mar 2015", ,House: 3  2  2 ,Land size: 459 sqm
175,22 CELESTIAL WAY,"Sold $525,000 in Jun 2018","Last Sold $189,400 in Aug 2016", ,House: 4  2  2 ,Land size: 391 sqm
176,16 Kestrel Crescent,"Sold $1,225,000 in May 2018", , , ,"Land size: 12,028 sqm"
177,47 Aviation Drive,"Sold $520,000 in May 2018", , ,House: 3  2  2 ,Land size: 349 sqm
178,8 Spectrum Drive,"Sold $680,000 in May 2018", , ,House: 4  2  2 ,Land size: 410 sqm
179,Lot 2041 Aristotle Street,"Sold $259,000 in May 2018", , , , 
180,18 Sovereign Drive,"Sold $295,000 in May 2018", , , ,Land size: 577 sqm
