Suburb,Suburb_Code,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,School,Shop,Restaurant,Station,Park,Hospital,Rent Amount PW,Auction,Last Sell Date,Last Sell Price,Sell Date,Sell Price
Armstrong Creek,1,424.0,157.80025348542458,3.0,1.0,2.0,2,2,4,14,4,0,800.847867054994,0.0,2016-02-01,160000.0,2020-07-01,486000
Armstrong Creek,1,399.0,157.80025348542458,3.0,1.0,2.0,4,18,4,14,3,0,800.847867054994,0.0,2010-08-01,152000.0,2020-07-01,512000
Armstrong Creek,1,592.0,212.0,3.0,1.0,2.0,4,18,4,14,3,0,800.847867054994,0.0,2012-04-01,186000.0,2020-07-01,645000
Armstrong Creek,1,507.0,338.0,3.0,1.0,2.0,1,3,4,13,3,0,460.0,0.0,2013-11-01,183000.0,2020-07-01,545000
Armstrong Creek,1,337.0,157.80025348542458,3.0,2.0,2.0,2,3,4,14,4,0,390.0,0.0,2015-12-01,156000.0,2020-07-01,490000
Armstrong Creek,1,447.0,157.80025348542458,3.0,1.0,2.0,2,3,4,14,4,0,460.0,0.0,2016-02-01,189000.0,2020-07-01,619000
Armstrong Creek,1,589.0,193.0,3.0,1.0,2.0,4,18,4,14,3,0,800.847867054994,0.0,2010-10-01,181350.0,2020-07-01,635000
Armstrong Creek,1,459.0,157.80025348542458,3.0,1.0,2.0,3,17,7,15,4,0,390.0,0.0,2011-09-01,165000.0,2020-07-01,487500
Armstrong Creek,1,475.0,157.80025348542458,3.0,1.0,2.0,1,3,4,12,3,0,800.847867054994,0.0,2000-02-01,185000.0,2020-06-01,640000
Armstrong Creek,1,448.0,157.80025348542458,3.0,1.0,2.0,2,3,4,13,3,0,800.847867054994,0.0,2012-10-01,183000.0,2020-06-01,550000
Armstrong Creek,1,499.0,157.80025348542458,3.0,1.0,2.0,3,16,6,12,3,0,800.847867054994,0.0,2015-09-01,185000.0,2020-06-01,285000
Armstrong Creek,1,449.0,172.0,3.0,1.0,2.0,2,3,4,13,3,0,800.847867054994,0.0,2014-03-01,175000.0,2020-06-01,585000
Armstrong Creek,1,592.0,157.80025348542458,3.0,1.0,2.0,4,17,6,17,4,0,800.847867054994,0.0,2010-09-01,191000.0,2020-06-01,730000
Armstrong Creek,1,476.0,281.0,4.0,2.0,2.0,0,3,4,11,3,0,800.847867054994,0.0,2011-08-01,185000.0,2020-06-01,740000
Armstrong Creek,1,337.0,157.80025348542458,3.0,2.0,2.0,4,17,4,15,3,0,800.847867054994,0.0,2017-07-01,350000.0,2020-06-01,455000
Armstrong Creek,1,636.0,202.0,3.0,1.0,2.0,4,16,5,14,3,0,800.847867054994,0.0,2010-06-01,188000.0,2020-06-01,637000
Armstrong Creek,1,516.0,157.80025348542458,4.0,2.0,2.0,3,8,7,10,4,0,430.0,0.0,2015-02-01,183000.0,2020-05-01,620000
Armstrong Creek,1,415.0,135.0,3.0,1.0,2.0,4,17,6,17,4,0,800.847867054994,0.0,2010-09-01,167000.0,2020-05-01,512000
Armstrong Creek,1,323.0,157.80025348542458,3.0,2.0,2.0,2,3,8,9,4,0,390.0,0.0,2016-12-01,146000.0,2020-05-01,495000
Armstrong Creek,1,528.0,171.0,4.0,2.0,6.0,4,16,6,14,3,0,440.0,0.0,2010-08-01,180000.0,2020-05-01,579000
Armstrong Creek,1,412.0,179.0,4.0,2.0,2.0,4,17,6,15,4,0,440.0,0.0,2017-09-01,470000.0,2020-05-01,595000
Armstrong Creek,1,404.0,157.80025348542458,4.0,2.0,2.0,2,2,4,14,4,0,800.847867054994,0.0,2016-02-01,173000.0,2020-05-01,517000
Armstrong Creek,1,448.0,223.0,4.0,2.0,2.0,1,4,4,13,3,0,800.847867054994,0.0,2017-08-01,475000.0,2020-04-01,510000
Armstrong Creek,1,415.0,135.0,3.0,1.0,2.0,4,17,6,17,4,0,800.847867054994,0.0,2010-09-01,167000.0,2020-05-01,512000
Armstrong Creek,1,323.0,157.80025348542458,3.0,2.0,2.0,2,3,8,9,4,0,390.0,0.0,2016-12-01,146000.0,2020-05-01,495000
Armstrong Creek,1,528.0,171.0,4.0,2.0,6.0,4,16,6,14,3,0,440.0,0.0,2010-08-01,180000.0,2020-05-01,579000
Armstrong Creek,1,412.0,179.0,4.0,2.0,2.0,4,17,6,15,4,0,440.0,0.0,2017-09-01,470000.0,2020-05-01,595000
Armstrong Creek,1,404.0,157.80025348542458,4.0,2.0,2.0,2,2,4,14,4,0,800.847867054994,0.0,2016-02-01,173000.0,2020-05-01,517000
Armstrong Creek,1,448.0,223.0,4.0,2.0,2.0,1,4,4,13,3,0,800.847867054994,0.0,2017-08-01,475000.0,2020-04-01,510000
Armstrong Creek,1,415.0,135.0,3.0,1.0,2.0,4,17,6,17,4,0,800.847867054994,0.0,2010-09-01,167000.0,2020-05-01,512000
Armstrong Creek,1,323.0,157.80025348542458,3.0,2.0,2.0,2,3,8,9,4,0,390.0,0.0,2016-12-01,146000.0,2020-05-01,495000
Armstrong Creek,1,528.0,171.0,4.0,2.0,6.0,4,16,6,14,3,0,440.0,0.0,2010-08-01,180000.0,2020-05-01,579000
Armstrong Creek,1,412.0,179.0,4.0,2.0,2.0,4,17,6,15,4,0,440.0,0.0,2017-09-01,470000.0,2020-05-01,595000
Armstrong Creek,1,404.0,157.80025348542458,4.0,2.0,2.0,2,2,4,14,4,0,800.847867054994,0.0,2016-02-01,173000.0,2020-05-01,517000
Armstrong Creek,1,448.0,223.0,4.0,2.0,2.0,1,4,4,13,3,0,800.847867054994,0.0,2017-08-01,475000.0,2020-04-01,510000
Armstrong Creek,1,415.0,135.0,3.0,1.0,2.0,4,17,6,17,4,0,800.847867054994,0.0,2010-09-01,167000.0,2020-05-01,512000
Armstrong Creek,1,323.0,157.80025348542458,3.0,2.0,2.0,2,3,8,9,4,0,390.0,0.0,2016-12-01,146000.0,2020-05-01,495000
Armstrong Creek,1,528.0,171.0,4.0,2.0,6.0,4,16,6,14,3,0,440.0,0.0,2010-08-01,180000.0,2020-05-01,579000
Armstrong Creek,1,412.0,179.0,4.0,2.0,2.0,4,17,6,15,4,0,440.0,0.0,2017-09-01,470000.0,2020-05-01,595000
Armstrong Creek,1,404.0,157.80025348542458,4.0,2.0,2.0,2,2,4,14,4,0,800.847867054994,0.0,2016-02-01,173000.0,2020-05-01,517000
Armstrong Creek,1,448.0,223.0,4.0,2.0,2.0,1,4,4,13,3,0,800.847867054994,0.0,2017-08-01,475000.0,2020-04-01,510000
Armstrong Creek,1,415.0,135.0,3.0,1.0,2.0,4,17,6,17,4,0,800.847867054994,0.0,2010-09-01,167000.0,2020-05-01,512000
Armstrong Creek,1,323.0,157.80025348542458,3.0,2.0,2.0,2,3,8,9,4,0,390.0,0.0,2016-12-01,146000.0,2020-05-01,495000
Armstrong Creek,1,528.0,171.0,4.0,2.0,6.0,4,16,6,14,3,0,440.0,0.0,2010-08-01,180000.0,2020-05-01,579000
Armstrong Creek,1,412.0,179.0,4.0,2.0,2.0,4,17,6,15,4,0,440.0,0.0,2017-09-01,470000.0,2020-05-01,595000
Armstrong Creek,1,404.0,157.80025348542458,4.0,2.0,2.0,2,2,4,14,4,0,800.847867054994,0.0,2016-02-01,173000.0,2020-05-01,517000
