date,pm25,pm10,o3,no2,so2,co
29/03/2020,19,,,,,
1/10/2019,22,29,25,12,2,2
2/10/2019,28,25,23,6,1,1
3/10/2019,33,7,19,4,,1
4/10/2019,23,13,19,6,1,1
5/10/2019,15,14,21,3,,1
6/10/2019,28,8,18,3,,
7/10/2019,23,7,20,2,,1
9/10/2019,10,6,20,3,,1
10/10/2019,12,12,20,5,1,1
11/10/2019,13,14,24,1,1,1
12/10/2019,18,12,24,3,,1
13/10/2019,18,14,25,6,,1
14/10/2019,13,10,19,3,,1
15/10/2019,27,8,19,4,1,1
16/10/2019,10,11,19,1,,
17/10/2019,18,23,20,3,,
18/10/2019,22,11,20,1,,
19/10/2019,23,13,20,1,1,1
20/10/2019,25,13,20,1,,1
21/10/2019,18,16,24,3,1,1
22/10/2019,21,31,33,11,4,2
23/10/2019,30,38,31,12,1,2
24/10/2019,46,47,23,1,9,1
25/10/2019,44,9,19,1,,
26/10/2019,23,11,16,3,,
27/10/2019,21,11,21,3,,1
28/10/2019,18,24,26,7,5,1
29/10/2019,19,20,21,6,,1
30/10/2019,27,37,30,7,2,1
31/10/2019,34,50,37,6,4,2
1/11/2019,47,8,22,2,1,1
2/11/2019,33,12,19,4,1,1
3/11/2019,21,9,18,2,,1
4/11/2019,23,10,20,2,,
5/11/2019,14,20,19,2,1,1
6/11/2019,16,9,16,1,,1
7/11/2019,23,8,16,2,,1
8/11/2019,17,9,16,1,,1
9/11/2019,16,6,14,1,,1
10/11/2019,9,20,20,6,2,1
11/11/2019,10,18,17,1,1,1
12/11/2019,28,13,15,1,1,1
13/11/2019,30,8,12,1,,1
14/11/2019,14,11,17,1,,
15/11/2019,13,15,18,1,,1
16/11/2019,31,15,18,2,,1
17/11/2019,22,17,18,3,1,1
18/11/2019,16,15,16,4,,1
19/11/2019,17,19,35,5,1,1
20/11/2019,11,69,30,2,6,1
21/11/2019,36,8,17,3,,1
22/11/2019,39,12,16,2,,1
23/11/2019,26,13,22,3,3,1
24/11/2019,36,23,18,5,1,1
25/11/2019,29,9,14,1,,1
26/11/2019,23,18,19,2,,1
27/11/2019,23,16,16,3,,1
28/11/2019,22,21,17,4,1,1
29/11/2019,24,8,15,2,,1
30/11/2019,28,5,16,1,,1
1/12/2019,12,12,17,1,,
3/12/2019,17,9,17,1,1,1
4/12/2019,22,13,16,1,,1
5/12/2019,20,18,16,1,1,1
6/12/2019,23,22,15,1,,1
7/12/2019,32,15,19,2,,1
8/12/2019,23,30,28,6,1,1
9/12/2019,22,13,17,1,,1
10/12/2019,31,13,15,1,1,
11/12/2019,22,13,12,1,,
12/12/2019,17,16,12,1,,
13/12/2019,23,6,8,1,,
14/12/2019,10,9,15,1,,
15/12/2019,11,14,14,3,,1
16/12/2019,18,17,21,6,1,1
17/12/2019,23,33,52,9,3,1
18/12/2019,26,20,20,1,,1
19/12/2019,40,50,39,6,2,2
21/12/2019,65,26,16,1,,
22/12/2019,46,26,17,1,1,1
23/12/2019,42,20,18,2,1,
24/12/2019,37,40,42,3,,4
25/12/2019,54,19,18,1,,1
26/12/2019,77,16,14,2,,
27/12/2019,34,27,28,3,1,1
28/12/2019,46,16,19,2,,1
29/12/2019,46,,,,,
1/07/2019,17,19,18,5,,
2/07/2019,14,14,14,11,1,2
3/07/2019,21,14,16,11,2,3
4/07/2019,36,,5,17,3,5
5/07/2019,53,,16,9,1,5
6/07/2019,61,,13,8,1,2
7/07/2019,35,,19,5,,2
8/07/2019,23,,18,7,3,1
9/07/2019,14,22,25,3,8,2
11/07/2019,24,9,24,1,,1
12/07/2019,34,7,23,1,,1
13/07/2019,24,9,24,1,,
14/07/2019,19,8,20,2,,
15/07/2019,27,7,19,2,,
16/07/2019,15,8,20,3,,1
17/07/2019,10,16,17,5,,1
18/07/2019,26,21,19,9,1,1
19/07/2019,25,7,17,2,8,1
20/07/2019,29,18,22,5,19,1
21/07/2019,20,22,19,5,12,1
22/07/2019,33,11,22,4,4,1
23/07/2019,22,13,19,7,1,1
24/07/2019,22,11,16,8,1,2
25/07/2019,14,12,13,11,1,1
26/07/2019,16,9,17,5,1,2
27/07/2019,27,5,23,2,,1
28/07/2019,23,11,19,5,,1
29/07/2019,21,10,22,5,1,
30/07/2019,21,17,18,10,1,1
31/07/2019,22,12,19,4,,1
1/08/2019,21,13,21,4,,1
2/08/2019,18,8,19,2,,1
3/08/2019,13,7,20,4,1,1
4/08/2019,14,10,17,6,7,1
5/08/2019,22,6,15,3,8,1
6/08/2019,22,,,,,
9/08/2019,12,7,23,1,,
10/08/2019,22,11,24,1,,1
11/08/2019,18,9,22,4,,
12/08/2019,16,9,16,3,,1
13/08/2019,10,13,15,8,1,1
14/08/2019,15,15,15,5,6,1
15/08/2019,18,11,17,5,2,1
16/08/2019,19,9,23,6,1,2
17/08/2019,17,6,24,1,2,1
18/08/2019,19,10,22,2,,1
19/08/2019,16,10,21,1,,1
20/08/2019,12,10,21,1,,
21/08/2019,11,20,21,8,,1
22/08/2019,31,18,18,7,6,1
23/08/2019,38,18,20,3,15,
24/08/2019,33,9,20,4,1,2
25/08/2019,22,12,19,6,1,1
26/08/2019,19,10,19,5,,1
27/08/2019,19,13,19,4,,
28/08/2019,14,12,24,6,1,2
29/08/2019,24,20,18,13,1,2
30/08/2019,30,14,22,7,3,3
31/08/2019,48,7,20,1,20,1
1/09/2019,16,10,19,5,6,1
2/09/2019,10,17,18,9,2,1
3/09/2019,22,13,20,5,,2
4/09/2019,26,13,15,10,1,2
5/09/2019,24,8,22,4,,1
6/09/2019,30,8,23,1,,1
7/09/2019,24,8,23,1,,1
8/09/2019,15,14,21,3,,
9/09/2019,26,13,20,6,,1
10/09/2019,22,11,19,6,4,1
11/09/2019,23,21,18,4,2,
12/09/2019,22,20,18,3,,1
13/09/2019,29,21,20,3,2,2
14/09/2019,27,8,22,3,1,1
15/09/2019,33,14,22,5,,1
16/09/2019,28,14,23,10,1,1
17/09/2019,27,18,22,9,6,1
18/09/2019,27,14,26,7,1,2
19/09/2019,25,21,26,4,1,1
20/09/2019,19,16,22,1,,1
21/09/2019,33,5,21,1,,1
22/09/2019,19,6,20,2,,1
23/09/2019,9,8,19,3,,1
24/09/2019,7,11,19,5,1,2
25/09/2019,11,14,19,8,2,1
26/09/2019,16,12,19,2,3,1
27/09/2019,26,12,22,2,,1
28/09/2019,27,11,21,2,1,
29/09/2019,24,14,23,4,1,
30/09/2019,21,21,23,10,1,1
1/04/2019,16,23,20,12,2,1
2/04/2019,20,27,16,7,1,1
3/04/2019,25,36,17,8,1,1
4/04/2019,36,37,27,8,2,1
5/04/2019,40,19,19,2,,
6/04/2019,33,18,21,3,,
7/04/2019,24,13,15,3,,
8/04/2019,15,12,15,3,,
9/04/2019,23,10,17,4,,
10/04/2019,22,13,11,8,1,1
11/04/2019,10,22,23,11,1,2
12/04/2019,21,19,23,4,1,1
13/04/2019,35,16,26,3,1,
14/04/2019,28,41,29,12,1,2
15/04/2019,40,55,23,9,1,1
16/04/2019,59,53,22,4,1,2
17/04/2019,45,19,19,3,,1
18/04/2019,37,18,22,6,1,1
19/04/2019,21,30,34,10,1,2
20/04/2019,38,26,20,3,1,2
21/04/2019,50,16,20,5,1,1
22/04/2019,28,16,19,6,1,1
23/04/2019,18,15,18,6,2,
24/04/2019,17,17,20,2,,
25/04/2019,25,18,19,2,,1
26/04/2019,21,12,19,1,,
27/04/2019,28,7,19,5,,1
28/04/2019,15,16,18,7,1,1
29/04/2019,13,38,24,9,2,3
30/04/2019,36,27,20,3,1,1
1/05/2019,35,9,18,7,3,1
2/05/2019,19,14,18,8,1,1
3/05/2019,20,10,19,2,1,1
4/05/2019,12,8,19,4,,1
5/05/2019,14,9,18,8,1,1
6/05/2019,12,17,22,7,4,1
7/05/2019,21,9,19,5,,
8/05/2019,17,19,17,5,6,
9/05/2019,22,9,20,1,,
10/05/2019,16,8,16,1,,
11/05/2019,21,5,17,3,,
12/05/2019,9,10,15,7,1,1
13/05/2019,10,18,15,11,1,2
14/05/2019,18,21,16,11,1,1
15/05/2019,29,19,18,11,3,2
16/05/2019,30,29,19,13,2,3
17/05/2019,51,29,21,13,2,3
18/05/2019,64,19,20,8,1,3
19/05/2019,72,14,13,7,2,1
20/05/2019,40,17,13,12,1,1
21/05/2019,27,23,15,11,1,2
22/05/2019,24,28,19,10,1,4
23/05/2019,48,18,15,7,1,1
24/05/2019,25,8,17,3,,1
25/05/2019,19,8,21,1,,
26/05/2019,17,11,20,1,,1
27/05/2019,17,8,22,1,,1
28/05/2019,21,7,21,2,,1
29/05/2019,18,11,18,3,,1
30/05/2019,20,14,17,5,1,1
31/05/2019,15,20,20,6,,1
1/06/2019,30,4,20,1,,1
2/06/2019,25,10,23,1,,
3/06/2019,11,11,22,4,,1
4/06/2019,23,11,18,3,,
5/06/2019,18,10,18,4,,
6/06/2019,11,19,17,9,5,6
7/06/2019,16,18,15,11,4,4
8/06/2019,56,16,17,5,5,2
9/06/2019,51,10,22,3,3,1
10/06/2019,23,18,16,8,2,2
11/06/2019,27,7,17,6,5,1
12/06/2019,17,13,19,8,1,1
13/06/2019,21,11,16,7,3,1
14/06/2019,18,14,17,8,1,2
15/06/2019,19,13,12,9,1,3
16/06/2019,41,12,12,10,8,2
17/06/2019,37,7,17,5,2,1
18/06/2019,20,10,14,9,,1
19/06/2019,19,7,12,9,4,1
20/06/2019,23,8,17,7,3,1
21/06/2019,21,9,17,8,1,1
22/06/2019,18,8,15,5,3,2
23/06/2019,29,21,5,15,3,4
24/06/2019,48,42,6,18,3,7
25/06/2019,76,30,6,17,1,7
26/06/2019,69,9,17,7,10,2
27/06/2019,40,10,15,4,2,
28/06/2019,16,5,23,1,1,
29/06/2019,10,10,22,2,,
30/06/2019,14,13,17,5,1,1
1/01/2019,17,14,11,2,,
2/01/2019,19,29,22,3,3,1
3/01/2019,25,40,27,5,1,2
4/01/2019,49,22,13,1,,1
5/01/2019,48,11,13,1,,
6/01/2019,21,10,14,1,1,
7/01/2019,9,19,14,4,,1
8/01/2019,14,19,12,2,,
9/01/2019,25,19,15,3,1,
10/01/2019,21,29,27,5,1,2
11/01/2019,20,32,17,5,1,1
12/01/2019,37,31,16,1,1,1
13/01/2019,36,39,31,5,1,2
14/01/2019,40,23,24,5,,1
15/01/2019,49,23,17,6,1,1
16/01/2019,42,32,29,5,,2
17/01/2019,33,21,15,6,1,1
18/01/2019,36,5,14,2,,
19/01/2019,33,8,11,2,,1
20/01/2019,21,9,14,1,1,1
21/01/2019,21,,13,2,,1
22/01/2019,28,6,11,2,,
23/01/2019,22,33,35,6,1,2
24/01/2019,30,54,34,4,,2
25/01/2019,54,12,16,1,,1
26/01/2019,43,16,16,1,,
27/01/2019,15,22,28,2,1,
28/01/2019,21,28,26,5,2,1
29/01/2019,30,32,35,7,1,2
30/01/2019,33,17,13,1,,1
31/01/2019,34,19,15,2,,
1/02/2019,16,40,47,,1,2
2/02/2019,35,37,42,,1,2
3/02/2019,66,16,13,1,,1
4/02/2019,47,26,19,2,,2
5/02/2019,28,19,32,4,,2
6/02/2019,40,14,31,8,1,2
7/02/2019,36,16,19,3,,1
8/02/2019,42,18,12,2,,1
9/02/2019,17,14,17,3,,1
10/02/2019,21,13,14,5,1,
11/02/2019,16,14,15,2,,1
12/02/2019,11,20,12,3,,
13/02/2019,22,16,5,6,,1
14/02/2019,27,12,13,1,,1
16/02/2019,22,15,23,5,1,1
17/02/2019,30,22,16,3,1,1
18/02/2019,25,19,14,3,,
19/02/2019,30,17,12,3,,1
20/02/2019,20,18,14,3,,
21/02/2019,19,9,14,2,,
22/02/2019,17,13,15,1,,1
23/02/2019,6,26,38,3,1,
24/02/2019,20,44,35,7,2,2
25/02/2019,39,33,22,6,,
26/02/2019,42,32,23,6,2,1
27/02/2019,35,49,35,8,1,2
28/02/2019,42,43,43,7,,1
1/03/2019,46,32,38,8,,1
2/03/2019,36,35,27,4,2,1
3/03/2019,32,19,16,5,1,1
4/03/2019,30,19,15,5,,
5/03/2019,21,8,14,2,,1
6/03/2019,15,18,21,6,1,1
7/03/2019,15,33,19,11,6,2
8/03/2019,27,38,37,7,2,2
9/03/2019,44,,,,,
10/03/2019,68,,,,,
13/03/2019,23,21,21,6,1,1
14/03/2019,21,23,14,6,,1
15/03/2019,24,,26,5,2,2
19/03/2019,17,2,11,1,,1
20/03/2019,10,,,,,
22/03/2019,38,3,12,6,1,1
23/03/2019,37,4,25,2,2,1
24/03/2019,23,10,19,1,,1
25/03/2019,22,3,17,2,,
26/03/2019,33,3,21,7,5,1
27/03/2019,33,31,20,11,6,6
28/03/2019,30,32,22,8,1,4
29/03/2019,24,7,15,1,,
