,date,mintemp,maxtemp,rainfall,dir_maxgust,spd_maxgust,time_maxgust,9am_temp,9am_rh,9am_wd,9am_ws,9am_mslp,3pm_temp,3pm_rh,3pm_wd,3pm_ws,3pm_mslp,pm25,pm10,o3,no2,so2,co
113,2014-04-25,3.6,18.7,0.0,N,24.0,21:47:00,10.8,67.0,N,7.0,1020.1,18.3,44.0,N,9.0,1013.4,27.0,17.0,19.0,2.0,4.0,1.0
114,2014-04-26,10.7,16.7,0.2,WSW,44.0,09:18:00,16.3,64.0,WNW,13.0,1011.1,15.8,44.0,WSW,26.0,1015.4,27.0,16.0,20.0,3.0,2.0,1.0
115,2014-04-27,6.1,16.4,0.2,SE,35.0,12:47:00,13.6,64.0,ESE,11.0,1026.0,14.8,52.0,SE,20.0,1023.5,27.0,15.0,18.0,9.0,3.0,1.0
116,2014-04-28,3.2,22.2,0.0,NNE,30.0,23:09:00,10.0,93.0,NNE,2.0,1020.5,21.4,31.0,NNE,11.0,1015.4,27.0,23.0,17.0,6.0,2.0,1.0
117,2014-04-29,9.9,20.8,0.0,NW,44.0,15:08:00,20.7,60.0,N,20.0,1007.5,15.6,93.0,NNW,13.0,1007.1,27.0,13.0,17.0,7.0,1.0,2.0
118,2014-04-30,9.7,16.0,14.2,SW,33.0,13:39:00,11.7,93.0,WNW,11.0,1017.9,15.1,52.0,SSW,22.0,1019.1,27.0,12.0,17.0,6.0,1.0,1.0
119,2014-05-01,5.9,15.2,0.0,NW,28.0,15:02:00,9.8,86.0,WNW,11.0,1018.2,13.6,54.0,WNW,15.0,1013.7,26.0,13.0,14.0,9.0,1.0,2.0
120,2014-05-02,9.8,14.6,1.0,NW,30.0,16:59:00,11.2,90.0,N,13.0,1003.5,13.1,81.0,NNW,4.0,998.7,26.0,9.0,20.0,3.0,1.0,1.0
121,2014-05-03,6.7,15.7,0.2,SSW,48.0,21:55:00,10.5,93.0,NW,7.0,1000.5,15.4,84.0,S,22.0,1000.8,26.0,9.0,17.0,1.0,1.0,1.0
122,2014-05-04,8.1,14.8,5.6,SW,41.0,15:07:00,8.6,92.0,WSW,9.0,1010.7,13.9,70.0,SW,19.0,1011.6,26.0,7.0,15.0,4.0,2.0,2.0
123,2014-05-05,8.5,17.5,2.2,WSW,39.0,13:34:00,13.0,85.0,NW,17.0,1016.8,16.1,57.0,WSW,24.0,1017.9,26.0,11.0,17.0,4.0,8.0,2.0
124,2014-05-06,9.3,15.9,0.4,S,35.0,15:28:00,11.6,69.0,WSW,13.0,1025.9,14.2,60.0,SSW,22.0,1024.9,26.0,15.0,19.0,6.0,2.0,2.0
125,2014-05-07,9.4,14.3,2.0,S,26.0,10:43:00,12.2,69.0,S,6.0,1028.4,13.8,53.0,SE,9.0,1027.5,26.0,15.0,11.0,13.0,2.0,3.0
126,2014-05-08,2.0,16.5,0.0,ENE,20.0,13:11:00,6.5,94.0,Calm,0.0,1027.9,16.3,50.0,ENE,6.0,1024.2,26.0,22.0,13.0,8.0,2.0,1.0
127,2014-05-09,6.2,18.7,0.0,N,37.0,14:00:00,11.8,68.0,NNE,19.0,1021.1,17.5,60.0,NNE,19.0,1017.0,26.0,14.0,14.0,6.0,1.0,2.0
128,2014-05-10,11.5,17.7,8.4,NNE,30.0,00:28:00,13.3,94.0,N,9.0,1017.4,16.5,67.0,WSW,19.0,1016.6,26.0,13.0,16.0,4.0,2.0,1.0
